_id,video_id,comment,cleaned_comment,sentiment
68779d90657a5069eaf96130,CRraHg4Ks_g,What a disappointing mess. He’s lying through his teeth and he knows it. More interested in “winning” this irresponsible race than actually taking the very real EXISTENTIAL threat of AGI seriously. Shame.,what a disappointing mess he is lying through his teeth and he knows it more interested in winning this irresponsible race than actually taking the very real existential threat of agi seriously shame,neutral
68779d90657a5069eaf96131,CRraHg4Ks_g,"I'm about to become a CNA soon after a few more weeks. Unlike a robot, I actually have compassion.
I do not see a robot assistant nurse being able to do holistic care. Only a human with compassion can.
Residents and patients do not want to be treated like a slab of meat so to speak. They want to be treated like a person.",i am about to become a cna soon after a few more weeks unlike a robot i actually have compassion i do not see a robot assistant nurse being able to do holistic care only a human with compassion can residents and patients do not want to be treated like a slab of meat so to speak they want to be treated like a person,positive
68779d90657a5069eaf96132,CRraHg4Ks_g,"AI has huge potential, but if it’s built carelessly or without the right values, it could backfire hard. We’re definitely in a high-stakes moment.",ai has huge potential but if it is built carelessly or without the right values it could backfire hard we are definitely in a highstakes moment,neutral
68779d90657a5069eaf96133,CRraHg4Ks_g,This guy is incredibly disingenuous about the dangers of AI. Especially regarding AI and employment.,this guy is incredibly disingenuous about the dangers of ai especially regarding ai and employment,positive
68779d90657a5069eaf96134,CRraHg4Ks_g,"If AI can come up with a cure for cancer within five years, I'll be convinced.",if ai can come up with a cure for cancer within five years i will be convinced,neutral
68779d90657a5069eaf96135,CRraHg4Ks_g,"AGI will be GREAT for some, not so much for others...",agi will be great for some not so much for others,positive
68779d90657a5069eaf96136,CRraHg4Ks_g,Nothing like the CEO of a tech company hyping his own product. Take it with a grain of salt. LLM does not equal AGI.,nothing like the ceo of a tech company hyping his own product take it with a grain of salt llm does not equal agi,positive
68779d90657a5069eaf96137,CRraHg4Ks_g,"Whenever we humans, try to cooperate by establishing a certain set of rules, somebody always finds a shortcut , and hacks the system. It's the basic game theory of a species with individual ( as opposed to shared) genes (like bees). i am not very optimistic about the future of ai.",whenever we humans try to cooperate by establishing a certain set of rules somebody always finds a shortcut and hacks the system it is the basic game theory of a species with individual as opposed to shared genes like bees i am not very optimistic about the future of ai,neutral
68779d90657a5069eaf96138,CRraHg4Ks_g,These AI guys really like smelling their own 💩,these ai guys really like smelling their own,positive
68779d90657a5069eaf96139,CRraHg4Ks_g,what diseases has AI cured so far?,what diseases has ai cured so far,neutral
6877a0df8d741c12a1114722,CRraHg4Ks_g,What a disappointing mess. He’s lying through his teeth and he knows it. More interested in “winning” this irresponsible race than actually taking the very real EXISTENTIAL threat of AGI seriously. Shame.,what a disappointing mess he is lying through his teeth and he knows it more interested in winning this irresponsible race than actually taking the very real existential threat of agi seriously shame,neutral
6877a0df8d741c12a1114723,CRraHg4Ks_g,"I'm about to become a CNA soon after a few more weeks. Unlike a robot, I actually have compassion.
I do not see a robot assistant nurse being able to do holistic care. Only a human with compassion can.
Residents and patients do not want to be treated like a slab of meat so to speak. They want to be treated like a person.",i am about to become a cna soon after a few more weeks unlike a robot i actually have compassion i do not see a robot assistant nurse being able to do holistic care only a human with compassion can residents and patients do not want to be treated like a slab of meat so to speak they want to be treated like a person,positive
6877a0df8d741c12a1114724,CRraHg4Ks_g,"AI has huge potential, but if it’s built carelessly or without the right values, it could backfire hard. We’re definitely in a high-stakes moment.",ai has huge potential but if it is built carelessly or without the right values it could backfire hard we are definitely in a highstakes moment,neutral
6877a0df8d741c12a1114725,CRraHg4Ks_g,This guy is incredibly disingenuous about the dangers of AI. Especially regarding AI and employment.,this guy is incredibly disingenuous about the dangers of ai especially regarding ai and employment,positive
6877a0df8d741c12a1114726,CRraHg4Ks_g,"If AI can come up with a cure for cancer within five years, I'll be convinced.",if ai can come up with a cure for cancer within five years i will be convinced,neutral
6877a0df8d741c12a1114727,CRraHg4Ks_g,"AGI will be GREAT for some, not so much for others...",agi will be great for some not so much for others,positive
6877a0df8d741c12a1114728,CRraHg4Ks_g,Nothing like the CEO of a tech company hyping his own product. Take it with a grain of salt. LLM does not equal AGI.,nothing like the ceo of a tech company hyping his own product take it with a grain of salt llm does not equal agi,positive
6877a0df8d741c12a1114729,CRraHg4Ks_g,"Whenever we humans, try to cooperate by establishing a certain set of rules, somebody always finds a shortcut , and hacks the system. It's the basic game theory of a species with individual ( as opposed to shared) genes (like bees). i am not very optimistic about the future of ai.",whenever we humans try to cooperate by establishing a certain set of rules somebody always finds a shortcut and hacks the system it is the basic game theory of a species with individual as opposed to shared genes like bees i am not very optimistic about the future of ai,neutral
6877a0df8d741c12a111472a,CRraHg4Ks_g,These AI guys really like smelling their own 💩,these ai guys really like smelling their own,positive
6877a0df8d741c12a111472b,CRraHg4Ks_g,what diseases has AI cured so far?,what diseases has ai cured so far,neutral
6877a0df8d741c12a111472c,CRraHg4Ks_g,Can anybody recommend some books on AI?,can anybody recommend some books on ai,neutral
6877a0df8d741c12a111472d,CRraHg4Ks_g,To ways to sell hype…fear and greed….,to ways to sell hypefear and greed,neutral
6877a0df8d741c12a111472e,CRraHg4Ks_g,"all these AI reference books do not have complete information. They only give what is needed )) there is no depth at all. Everything is superficial, applied, 2+2=4 😊 
They do not download Vatican libraries there )) 
So, everything is superficial and for the masses ...",all these ai reference books do not have complete information they only give what is needed there is no depth at all everything is superficial applied they do not download vatican libraries there so everything is superficial and for the masses,neutral
6877a0df8d741c12a111472f,CRraHg4Ks_g,"""well if everything goes well""

yeah, there's the crux.",well if everything goes well yeah there is the crux,neutral
6877a0df8d741c12a1114730,CRraHg4Ks_g,so can it cure chronic prostatitis also?,so can it cure chronic prostatitis also,neutral
6877a0df8d741c12a1114731,CRraHg4Ks_g,"I know what will help human collaboration and geopolitics! Billions of super intelligent, sociopathic, self-interested AI agents! Oh wait, oh no..",i know what will help human collaboration and geopolitics billions of super intelligent sociopathic selfinterested ai agents oh wait oh no,positive
6877a0df8d741c12a1114732,CRraHg4Ks_g,"One can sense that Demis Hassabis knows deep inside that the post-AGI world is going to turn ugly, he is just hoping it does not.",one can sense that demis hassabis knows deep inside that the postagi world is going to turn ugly he is just hoping it does not,negative
6877a0df8d741c12a1114733,CRraHg4Ks_g,"wow this is very insightful!
I also started my own channel and started making infotainment curiosity-driven videos for my Hindi audience. First video down on GroundWhy channel about AI and AGI. As a new creator, need a little push! Thanks🤓",wow this is very insightful i also started my own channel and started making infotainment curiositydriven videos for my hindi audience first video down on groundwhy channel about ai and agi as a new creator need a little push thanks,positive
6877a0df8d741c12a1114734,CRraHg4Ks_g,"Demis’s arguments are so flimsy, so superficial and out of touch with the details that I found myself laughing out loud at many points in this interview. His desalination example is a particularly good showcase, completely glazing over a multitude of details while simply evangelizing. 
He’s really not the only one in this chorus. But I’m sincerely amazed at how many million people around the world seem to take it all in without a second, critical thought. 

There’s plenty of reasonable, scientific opposition to this tech bros nonsense out there but it gets drowned out by an unrelenting media push and an adoring public that seems to be in a lethargy of common sense.",demiss arguments are so flimsy so superficial and out of touch with the details that i found myself laughing out loud at many points in this interview his desalination example is a particularly good showcase completely glazing over a multitude of details while simply evangelizing he is really not the only one in this chorus but i am sincerely amazed at how many million people around the world seem to take it all in without a second critical thought there is plenty of reasonable scientific opposition to this tech bros nonsense out there but it gets drowned out by an unrelenting media push and an adoring public that seems to be in a lethargy of common sense,positive
6877a0df8d741c12a1114735,CRraHg4Ks_g,"Oh well, around 14 minutes we have a good summary of the whole conversation. We know all we need to do NOW, but we don’t do it. AI will just add another layer to that. Shareholders will be pleased other ways.",oh well around minutes we have a good summary of the whole conversation we know all we need to do now but we do not do it ai will just add another layer to that shareholders will be pleased other ways,positive
6877a0df8d741c12a1114736,CRraHg4Ks_g,I'm 12 minutes into this video and I don't think I've heard of a new question that hasn't been asked by hundreds of other interviews already. What a waste of time!,i am minutes into this video and i do not think i have heard of a new question that has not been asked by hundreds of other interviews already what a waste of time,neutral
6877a0df8d741c12a1114737,CRraHg4Ks_g,"""Colonize the galaxy"" - Just British people things",colonize the galaxy just british people things,neutral
6877a0df8d741c12a1114738,CRraHg4Ks_g,"""Reversed Osmosis"" has already solved the Water Access issue",reversed osmosis has already solved the water access issue,neutral
6877a0df8d741c12a1114739,CRraHg4Ks_g,Predicting the future is for clowns.🤡,predicting the future is for clowns,neutral
